Wavelength [nm],Ed0: 380,Ed0: 395,Ed0: 412,Ed0: 443,Ed0: 465,Ed0: 490,Ed0: 510,Ed0: 532,Ed0: 555,Ed0: 560,Ed0: 565,Ed0: 589,Ed0: 625,Ed0: 665,Ed0: 670,Ed0: 683,Ed0: 694,Ed0: 710,Ed0: PAR
507,0,0,0,0,0,0,0.988867885237006,0.000177317011195345,0,0,0,0,0,0,0,0,0,0,0.920573738573077
508,0,0,0,0,0,0,0.996995584853241,0.000160853137731676,0,0,0,0,0,0,0,0,0,0,0.918115777202261
509,0,0,0,0,0,0,0.990492563342971,0.000165498651714481,0,0,0,0,0,0,0,0,0,0,0.903435164001133
510,0,0,0,0,0,0,1,0.000128437529929867,0,0,0,0,0,0,0,0,0,0,0.896654626959141
511,0,0,0,0,0,0,0.977847736787143,0.000168855998782342,0,0,0,0,0,0,0,0,0,0,0.87887715536514
512,0,0,0,0,0,0,0.913924015710643,0.000127406570081189,0,0,0,0,0,0,0,0,0,0,0.877244668606181
513,0,0,0,0,0,0,0.757157269094601,0.000158679688799784,0,0,0,0,0,0,0,0,0,0,0.876185407763954
514,0,0,0,0,0,0,0.453727989218212,0.000219324059333132,0,0,0,0,0,0,0,0,0,0,0.871475052789224
515,0,0,0,0,0,0,0.189208166655832,0.000264563320026866,0,0,0,0,0,0,0,0,0,0,0.847798267251503
516,0,0,0,0,0,0,0.0551932333029883,0.000341999054036473,0,0,0,0,0,0,0,0,0,0,0.842677081927099
517,0,0,0,0,0,0,0.0105562443797623,0.00044872078904922,0,0,0,0,0,0,0,0,0,0,0.837905319850931
518,0,0,0,0,0,0,0.00198214106701878,0.000619016856527694,0,0,0,0,0,0,0,0,0,0,0.836819310410312
519,0,0,0,0,0,0,0.000600855559978183,0.000868466767836459,0,0,0,0,0,0,0,0,0,0,0.851819025378713
520,0,0,0,0,0,0,0.000236823451840817,0.00120313863795347,0,0,0,0,0,0,0,0,0,0,0.853103597696961
521,0,0,0,0,0,0,0.000107036161713423,0.00204963147272362,0,0,0,0,0,0,0,0,0,0,0.844194169744264
522,0,0,0,0,0,0,0.0000885537897084416,0.00496077166149492,0,0,0,0,0,0,0,0,0,0,0.830717777938672
523,0,0,0,0,0,0,0.0000435358533391564,0.0153987002502626,0,0,0,0,0,0,0,0,0,0,0.830378450219259
524,0,0,0,0,0,0,0.0000359083006422146,0.0465891328644796,0,0,0,0,0,0,0,0,0,0,0.826328260559388
525,0,0,0,0,0,0,0.0000160752259058589,0.153658530674893,0,0,0,0,0,0,0,0,0,0,0.842502471101669
526,0,0,0,0,0,0,0.0000124336370293027,0.344936599495308,0,0,0,0,0,0,0,0,0,0,0.854087350027028
527,0,0,0,0,0,0,0.0000108231559032131,0.575996297399965,0,0,0,0,0,0,0,0,0,0,0.847035678425573
528,0,0,0,0,0,0,0,0.78289642684904,0,0.00000266613948497173,0,0,0,0,0,0,0,0,0.836841273803096
529,0,0,0,0,0,0,0,0.950161199208887,0,0.000007460983958613,0,0,0,0,0,0,0,0,0.840393220317053
530,0,0,0,0,0,0,0,0.997218411043088,0.0000177568910629508,0.0000221574582029738,0,0,0,0,0,0,0,0,0.844885593745495
531,0,0,0,0,0,0,0,1,0.000018669018699384,0.0000406373763100964,0,0,0,0,0,0,0,0,0.847290715429919
532,0,0,0,0,0,0,0,0.991293202099864,0.0000598260485975233,0.0000549088529752237,0,0,0,0,0,0,0,0,0.845856175791343
533,0,0,0,0,0,0,0,0.981474689071038,0.0000815568205276891,0.0000810908202151119,0,0,0,0,0,0,0,0,0.849539967040782
534,0,0,0,0,0,0,0,0.955496980493041,0.0000793463679231764,0.000123133508569166,0,0,0,0,0,0,0,0,0.854132578428061
535,0,0,0,0,0,0,0,0.884007308877947,0.000151015963247417,0.000110563277233206,0,0,0,0,0,0,0,0,0.853112067721243
536,0,0,0,0,0,0,0,0.738149197570194,0.000170446814777723,0.000217180801630984,0.00000529444052909287,0,0,0,0,0,0,0,0.85102912568707
537,0,0,0,0,0,0,0,0.492657466139577,0.000243012246004247,0.000273031301140358,0.0000175797741250739,0,0,0,0,0,0,0,0.852183271335963
538,0,0,0,0,0,0,0,0.258000607450213,0.000398899564985791,0.000301268445258271,0.0000841804078495098,0,0,0,0,0,0,0,0.848199919227442
539,0,0,0,0,0,0,0,0.102093713603096,0.000575163498864443,0.000312154187988254,0.0000816754378791504,0,0,0,0,0,0,0,0.851488234431069
540,0,0,0,0,0,0,0,0.0271337589876558,0.000841480267829941,0.000318397831548451,0.000110336695574263,0,0,0,0,0,0,0,0.84812332765508
541,0,0,0,0,0,0,0,0.00477242681909551,0.0012620306124134,0.000356492528751614,0.000144164398622859,0,0,0,0,0,0,0,0.847289823741595
